2 - Average number of hours spent on paid and unpaid domestic and care work combined (total work burden)  by sex

Indicator Name,Region,Country Code,Country,Year,Sex,Value,LowerBound,UpperBound,NatureDataID,OriginDataID,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Average number of hours spent on paid and unpaid domestic and care work combined (total work burden)  by sex,Southern Asia,64,Bhutan,2006,Female,8.42,-,-,1,1,Unknown age,0,0,2006-2007,0,0,-
Average number of hours spent on paid and unpaid domestic and care work combined (total work burden)  by sex,Southern Asia,64,Bhutan,2006,Male,7.13,-,-,1,1,Unknown age,0,0,2006-2007,0,0,-
Average number of hours spent on paid and unpaid domestic and care work combined (total work burden)  by sex,Southern Asia,364,Iran (Islamic Republic of),2008,Female,5.77,-,-,1,1,15+,0,0,2008-2009,0,0,-
Average number of hours spent on paid and unpaid domestic and care work combined (total work burden)  by sex,Southern Asia,364,Iran (Islamic Republic of),2008,Male,5.98,-,-,1,1,15+,0,0,2008-2009,0,0,-
Average number of hours spent on paid and unpaid domestic and care work combined (total work burden)  by sex,Southern Asia,586,Pakistan,2007,Female,6.08,-,-,1,1,10+,0,Collecting water and fuel included under unpaid work,Collecting water and fuel included under unpaid work,2007,0,0
Average number of hours spent on paid and unpaid domestic and care work combined (total work burden)  by sex,Southern Asia,586,Pakistan,2007,Male,5.82,-,-,1,1,10+,0,Collecting water and fuel included under unpaid work,Collecting water and fuel included under unpaid work,2007,0,0
Average number of hours spent on paid and unpaid domestic and care work combined (total work burden)  by sex,Developed regions,8,Albania,2010,Female,7.15,-,-,1,1,10+,0,Time on unpaid domestic work includes time spent on community or volunteer work,Time on unpaid domestic work includes time spent on community or volunteer work,2010-2011,0,0
Average number of hours spent on paid and unpaid domestic and care work combined (total work burden)  by sex,Developed regions,8,Albania,2010,Male,5.1,-,-,1,1,10+,0,Time on unpaid domestic work includes time spent on community or volunteer work,Time on unpaid domestic work includes time spent on community or volunteer work,2010-2011,0,0
Average number of hours spent on paid and unpaid domestic and care work combined (total work burden)  by sex,Developed regions,36,Australia,2006,Female,7.57,-,-,1,1,15+,0,Time on unpaid work does not include time spent on community or volunteer work,2006,0,0,-
Average number of hours spent on paid and unpaid domestic and care work combined (total work burden)  by sex,Developed regions,36,Australia,2006,Male,7.42,-,-,1,1,15+,0,Time on unpaid work does not include time spent on community or volunteer work,2006,0,0,-
Average number of hours spent on paid and unpaid domestic and care work combined (total work burden)  by sex,Developed regions,40,Austria,2008,Female,6.5,-,-,1,1,20-74,0,0,2008-2009,0,0,-
Average number of hours spent on paid and unpaid domestic and care work combined (total work burden)  by sex,Developed regions,40,Austria,2008,Male,6.08,-,-,1,1,20-74,0,0,2008-2009,0,0,-
Average number of hours spent on paid and unpaid domestic and care work combined (total work burden)  by sex,Developed regions,56,Belgium,2005,Female,5.3,-,-,1,1,12+,2005,0,0,-,-,-
Average number of hours spent on paid and unpaid domestic and care work combined (total work burden)  by sex,Developed regions,56,Belgium,2005,Female,6.43,-,-,1,1,19-65,0,Time on unpaid work does not include time spent on community or volunteer work,2005,0,0,-
Average number of hours spent on paid and unpaid domestic and care work combined (total work burden)  by sex,Developed regions,56,Belgium,2005,Female,6.32,-,-,1,1,15-84,0,0,2005,0,0,-
Average number of hours spent on paid and unpaid domestic and care work combined (total work burden)  by sex,Developed regions,56,Belgium,2005,Male,5.9,-,-,1,1,19-65,0,Time on unpaid work does not include time spent on community or volunteer work,2005,0,0,-
Average number of hours spent on paid and unpaid domestic and care work combined (total work burden)  by sex,Developed regions,56,Belgium,2005,Male,5.98,-,-,1,1,15-84,0,0,2005,0,0,-
Average number of hours spent on paid and unpaid domestic and care work combined (total work burden)  by sex,Developed regions,56,Belgium,2005,Male,5.08,-,-,1,1,12+,2005,0,0,-,-,-
Average number of hours spent on paid and unpaid domestic and care work combined (total work burden)  by sex,Developed regions,56,Belgium,2013,Female,5.78,-,-,1,1,12+,2013,0,0,-,-,-
Average number of hours spent on paid and unpaid domestic and care work combined (total work burden)  by sex,Developed regions,56,Belgium,2013,Male,5.48,-,-,1,1,12+,2013,0,0,-,-,-
Average number of hours spent on paid and unpaid domestic and care work combined (total work burden)  by sex,Developed regions,100,Bulgaria,2009,Female,6.72,-,-,1,1,20-74,0,Time on unpaid work does not include time spent on community or volunteer work,2009-2010,0,0,-
Average number of hours spent on paid and unpaid domestic and care work combined (total work burden)  by sex,Developed regions,100,Bulgaria,2009,Male,5.38,-,-,1,1,20-74,0,Time on unpaid work does not include time spent on community or volunteer work,2009-2010,0,0,-
Average number of hours spent on paid and unpaid domestic and care work combined (total work burden)  by sex,Developed regions,112,Belarus,2014,Female,8.07,-,-,1,1,10+,0,0,2014-2015,0,0,-
Average number of hours spent on paid and unpaid domestic and care work combined (total work burden)  by sex,Developed regions,112,Belarus,2014,Male,7.15,-,-,1,1,10+,0,0,2014-2015,0,0,-
Average number of hours spent on paid and unpaid domestic and care work combined (total work burden)  by sex,Developed regions,124,Canada,2005,Female,7.3,-,-,1,1,15+,0,0,2005,0,0,-
Average number of hours spent on paid and unpaid domestic and care work combined (total work burden)  by sex,Developed regions,124,Canada,2005,Male,7.2,-,-,1,1,15+,0,0,2005,0,0,-
Average number of hours spent on paid and unpaid domestic and care work combined (total work burden)  by sex,Developed regions,124,Canada,2010,Female,7.28,-,-,1,1,15+,0,0,2010,0,0,-
Average number of hours spent on paid and unpaid domestic and care work combined (total work burden)  by sex,Developed regions,124,Canada,2010,Male,7.08,-,-,1,1,15+,0,0,2010,0,0,-
Average number of hours spent on paid and unpaid domestic and care work combined (total work burden)  by sex,Developed regions,208,Denmark,2008,Female,6,-,-,1,1,20-74,0,Time on unpaid work does not include time spent on community or volunteer work; Paid work does not include commuting to/from work,2008-2009,0,0,-
Average number of hours spent on paid and unpaid domestic and care work combined (total work burden)  by sex,Developed regions,208,Denmark,2008,Male,6.15,-,-,1,1,20-74,0,Time on unpaid work does not include time spent on community or volunteer work; Paid work does not include commuting to/from work,2008-2009,0,0,-
Average number of hours spent on paid and unpaid domestic and care work combined (total work burden)  by sex,Developed regions,233,Estonia,2009,Female,7.03,-,-,1,1,10+,0,0,2009-2010,0,0,-
Average number of hours spent on paid and unpaid domestic and care work combined (total work burden)  by sex,Developed regions,233,Estonia,2009,Male,6.1,-,-,1,1,10+,0,0,2009-2010,0,0,-
Average number of hours spent on paid and unpaid domestic and care work combined (total work burden)  by sex,Developed regions,246,Finland,2009,Female,6.2,-,-,1,1,20-74,0,Time on unpaid work does not include time spent on community or volunteer work; Paid work does not include commuting to/from work,2009-2010,0,0,-
Average number of hours spent on paid and unpaid domestic and care work combined (total work burden)  by sex,Developed regions,246,Finland,2009,Female,6.12,-,-,1,1,10+,0,Time on unpaid work does not include time spent on community or volunteer work,2009-2010,0,0,-
