3b - Labour force participation rate for persons aged 15+  by sex

Indicator Name,Region,Country Code,Country,Year,Sex,Value,LowerBound,UpperBound,NatureDataID,OriginDataID,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Labour force participation rate for persons aged 15-24  by sex,Southern Asia,50,Bangladesh,2003,Female,32.33,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year | Population coverage: Excluding armed forces and/or conscripts
Labour force participation rate for persons aged 15-24  by sex,Southern Asia,50,Bangladesh,2003,Male,69.93,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year | Population coverage: Excluding armed forces and/or conscripts
Labour force participation rate for persons aged 15-24  by sex,Southern Asia,50,Bangladesh,2003,Both sexes,51.61,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year | Population coverage: Excluding armed forces and/or conscripts
Labour force participation rate for persons aged 15-24  by sex,Southern Asia,50,Bangladesh,2000,Female,52.48,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year | Population coverage: Excluding armed forces and/or conscripts
Labour force participation rate for persons aged 15-24  by sex,Southern Asia,50,Bangladesh,2000,Male,71.28,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year | Population coverage: Excluding armed forces and/or conscripts
Labour force participation rate for persons aged 15-24  by sex,Southern Asia,50,Bangladesh,2000,Both sexes,61.95,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year | Population coverage: Excluding armed forces and/or conscripts
Labour force participation rate for persons aged 15-24  by sex,Southern Asia,50,Bangladesh,2005,Female,22.34,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year | Population coverage: Excluding armed forces and/or conscripts
Labour force participation rate for persons aged 15-24  by sex,Southern Asia,50,Bangladesh,2005,Male,71,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year | Population coverage: Excluding armed forces and/or conscripts
Labour force participation rate for persons aged 15-24  by sex,Southern Asia,50,Bangladesh,2005,Both sexes,47.48,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year | Population coverage: Excluding armed forces and/or conscripts
Labour force participation rate for persons aged 15-24  by sex,Southern Asia,50,Bangladesh,2010,Female,34.53,-,-,1,1,Break in series: Methodology revised,-,-,-,-,-,-
Labour force participation rate for persons aged 15-24  by sex,Southern Asia,50,Bangladesh,2010,Male,58.98,-,-,1,1,Break in series: Methodology revised,-,-,-,-,-,-
Labour force participation rate for persons aged 15-24  by sex,Southern Asia,50,Bangladesh,2010,Both sexes,46.47,-,-,1,1,Break in series: Methodology revised,-,-,-,-,-,-
Labour force participation rate for persons aged 15-24  by sex,Southern Asia,50,Bangladesh,1996,Female,53.25,-,-,1,1,-,-,-,-,-,-,-
Labour force participation rate for persons aged 15-24  by sex,Southern Asia,50,Bangladesh,1996,Male,72.03,-,-,1,1,-,-,-,-,-,-,-
Labour force participation rate for persons aged 15-24  by sex,Southern Asia,50,Bangladesh,1996,Both sexes,62.63,-,-,1,1,-,-,-,-,-,-,-
Labour force participation rate for persons aged 15-24  by sex,Southern Asia,50,Bangladesh,2013,Female,37.74,-,-,1,1,Break in series: Methodology revised,-,-,-,-,-,-
Labour force participation rate for persons aged 15-24  by sex,Southern Asia,50,Bangladesh,2013,Male,53.75,-,-,1,1,Break in series: Methodology revised,-,-,-,-,-,-
Labour force participation rate for persons aged 15-24  by sex,Southern Asia,50,Bangladesh,2013,Both sexes,45.42,-,-,1,1,Break in series: Methodology revised,-,-,-,-,-,-
Labour force participation rate for persons aged 15-24  by sex,Southern Asia,64,Bhutan,2005,Female,40.91,-,-,1,1,-,-,-,-,-,-,Data reference period: May
Labour force participation rate for persons aged 15-24  by sex,Southern Asia,64,Bhutan,2005,Male,53.67,-,-,1,1,-,-,-,-,-,-,Data reference period: May
Labour force participation rate for persons aged 15-24  by sex,Southern Asia,64,Bhutan,2005,Both sexes,47.71,-,-,1,1,-,-,-,-,-,-,Data reference period: May
Labour force participation rate for persons aged 15-24  by sex,Southern Asia,64,Bhutan,2009,Female,52.67,-,-,1,1,-,-,-,-,-,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Labour force participation rate for persons aged 15-24  by sex,Southern Asia,64,Bhutan,2009,Male,44.12,-,-,1,1,-,-,-,-,-,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
