4 - Proportion of employed who are own-account workers  by sex

Indicator Name,Region,Country Code,Country,Year,Sex,Value,LowerBound,UpperBound,NatureDataID,OriginDataID,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Proportion of employed who are own-account workers  by sex,Southern Asia,50,Bangladesh,2003,Female,34.16,-,-,1,1,-,-,-,-,-,Data reference period: Noncalendar year,-
Proportion of employed who are own-account workers  by sex,Southern Asia,50,Bangladesh,2003,Male,73.48,-,-,1,1,-,-,-,-,-,Data reference period: Noncalendar year,-
Proportion of employed who are own-account workers  by sex,Southern Asia,50,Bangladesh,2003,Both sexes,64.75,-,-,1,1,-,-,-,-,-,Data reference period: Noncalendar year,-
Proportion of employed who are own-account workers  by sex,Southern Asia,50,Bangladesh,2000,Female,10.98,-,-,1,1,-,-,-,-,-,Data reference period: Noncalendar year,-
Proportion of employed who are own-account workers  by sex,Southern Asia,50,Bangladesh,2000,Male,49.55,-,-,1,1,-,-,-,-,-,Data reference period: Noncalendar year,-
Proportion of employed who are own-account workers  by sex,Southern Asia,50,Bangladesh,2000,Both sexes,35.1,-,-,1,1,-,-,-,-,-,Data reference period: Noncalendar year,-
Proportion of employed who are own-account workers  by sex,Southern Asia,50,Bangladesh,2005,Female,26.42,-,-,1,1,-,-,-,-,-,Data reference period: Noncalendar year,-
Proportion of employed who are own-account workers  by sex,Southern Asia,50,Bangladesh,2005,Male,74.82,-,-,1,1,-,-,-,-,-,Data reference period: Noncalendar year,-
Proportion of employed who are own-account workers  by sex,Southern Asia,50,Bangladesh,2005,Both sexes,63.3,-,-,1,1,-,-,-,-,-,Data reference period: Noncalendar year,-
Proportion of employed who are own-account workers  by sex,Southern Asia,50,Bangladesh,2010,Female,25.1,-,-,1,1,Break in series: Methodology revised,-,-,-,-,-,-
Proportion of employed who are own-account workers  by sex,Southern Asia,50,Bangladesh,2010,Male,46.87,-,-,1,1,Break in series: Methodology revised,-,-,-,-,-,-
Proportion of employed who are own-account workers  by sex,Southern Asia,50,Bangladesh,2010,Both sexes,40.35,-,-,1,1,Break in series: Methodology revised,-,-,-,-,-,-
Proportion of employed who are own-account workers  by sex,Southern Asia,50,Bangladesh,1996,Female,7.65,-,-,1,1,Age coverage - minimum age: 10 years old,-,-,-,-,Data reference period: Noncalendar year,-
Proportion of employed who are own-account workers  by sex,Southern Asia,50,Bangladesh,1996,Male,42.69,-,-,1,1,Age coverage - minimum age: 10 years old,-,-,-,-,Data reference period: Noncalendar year,-
Proportion of employed who are own-account workers  by sex,Southern Asia,50,Bangladesh,1996,Both sexes,29.32,-,-,1,1,Age coverage - minimum age: 10 years old,-,-,-,-,Data reference period: Noncalendar year,-
Proportion of employed who are own-account workers  by sex,Southern Asia,50,Bangladesh,2011,Female,26.58,-,-,1,1,-,-,-,-,-,Data reference period: October,-
Proportion of employed who are own-account workers  by sex,Southern Asia,50,Bangladesh,2011,Male,58.01,-,-,1,1,-,-,-,-,-,Data reference period: October,-
Proportion of employed who are own-account workers  by sex,Southern Asia,50,Bangladesh,2011,Both sexes,53.93,-,-,1,1,-,-,-,-,-,Data reference period: October,-
Proportion of employed who are own-account workers  by sex,Southern Asia,50,Bangladesh,2013,Female,12.31,-,-,1,1,Break in series: Methodology revised,-,-,-,-,-,-
Proportion of employed who are own-account workers  by sex,Southern Asia,50,Bangladesh,2013,Male,52.23,-,-,1,1,Break in series: Methodology revised,-,-,-,-,-,-
Proportion of employed who are own-account workers  by sex,Southern Asia,50,Bangladesh,2013,Both sexes,40.65,-,-,1,1,Break in series: Methodology revised,-,-,-,-,-,-
Proportion of employed who are own-account workers  by sex,Southern Asia,64,Bhutan,2005,Female,23.9,-,-,1,1,-,-,-,-,-,Data reference period: May,-
Proportion of employed who are own-account workers  by sex,Southern Asia,64,Bhutan,2005,Male,17.64,-,-,1,1,-,-,-,-,-,Data reference period: May,-
Proportion of employed who are own-account workers  by sex,Southern Asia,64,Bhutan,2005,Both sexes,19.9,-,-,1,1,-,-,-,-,-,Data reference period: May,-
Proportion of employed who are own-account workers  by sex,Southern Asia,64,Bhutan,2009,Female,23.29,-,-,1,1,-,-,-,-,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories,-
Proportion of employed who are own-account workers  by sex,Southern Asia,64,Bhutan,2009,Male,21.61,-,-,1,1,-,-,-,-,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories,-
Proportion of employed who are own-account workers  by sex,Southern Asia,64,Bhutan,2009,Both sexes,22.42,-,-,1,1,-,-,-,-,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories,-
Proportion of employed who are own-account workers  by sex,Southern Asia,64,Bhutan,2010,Female,28.06,-,-,1,1,-,-,-,-,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories,-
Proportion of employed who are own-account workers  by sex,Southern Asia,64,Bhutan,2010,Male,26.52,-,-,1,1,-,-,-,-,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories,-
Proportion of employed who are own-account workers  by sex,Southern Asia,64,Bhutan,2010,Both sexes,27.27,-,-,1,1,-,-,-,-,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories,-
Proportion of employed who are own-account workers  by sex,Southern Asia,64,Bhutan,2006,Female,15,-,-,1,1,-,-,-,-,-,Data reference period: Average of 2 monthly points,-
Proportion of employed who are own-account workers  by sex,Southern Asia,64,Bhutan,2006,Male,13.44,-,-,1,1,-,-,-,-,-,Data reference period: Average of 2 monthly points,-
Proportion of employed who are own-account workers  by sex,Southern Asia,64,Bhutan,2006,Both sexes,14.07,-,-,1,1,-,-,-,-,-,Data reference period: Average of 2 monthly points,-
Proportion of employed who are own-account workers  by sex,Southern Asia,64,Bhutan,2011,Female,34.4,-,-,1,1,-,-,-,-,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories,-
Proportion of employed who are own-account workers  by sex,Southern Asia,64,Bhutan,2011,Male,24.4,-,-,1,1,-,-,-,-,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories,-
Proportion of employed who are own-account workers  by sex,Southern Asia,64,Bhutan,2011,Both sexes,29.13,-,-,1,1,-,-,-,-,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories,-
Proportion of employed who are own-account workers  by sex,Southern Asia,64,Bhutan,2012,Female,28.47,-,-,1,1,-,-,-,-,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories,-
Proportion of employed who are own-account workers  by sex,Southern Asia,64,Bhutan,2012,Male,30.96,-,-,1,1,-,-,-,-,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories,-
Proportion of employed who are own-account workers  by sex,Southern Asia,64,Bhutan,2012,Both sexes,29.69,-,-,1,1,-,-,-,-,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories,-
Proportion of employed who are own-account workers  by sex,Southern Asia,64,Bhutan,2014,Female,30.08,-,-,1,1,-,-,-,-,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories,-
Proportion of employed who are own-account workers  by sex,Southern Asia,64,Bhutan,2014,Male,33.91,-,-,1,1,-,-,-,-,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories,-
Proportion of employed who are own-account workers  by sex,Southern Asia,64,Bhutan,2014,Both sexes,32.18,-,-,1,1,-,-,-,-,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories,-
Proportion of employed who are own-account workers  by sex,Southern Asia,64,Bhutan,2015,Female,35.9,-,-,1,1,-,-,-,-,-,Data reference period: November | Geographical coverage: Total national  excluding overseas territories,-
Proportion of employed who are own-account workers  by sex,Southern Asia,64,Bhutan,2015,Male,38.59,-,-,1,1,-,-,-,-,-,Data reference period: November | Geographical coverage: Total national  excluding overseas territories,-
Proportion of employed who are own-account workers  by sex,Southern Asia,64,Bhutan,2015,Both sexes,37.34,-,-,1,1,-,-,-,-,-,Data reference period: November | Geographical coverage: Total national  excluding overseas territories,-
Proportion of employed who are own-account workers  by sex,Southern Asia,144,Sri Lanka,1999,Female,17.5,-,-,1,1,Age coverage - minimum age: 10 years old,-,-,-,-,Geographical coverage: Total national  excluding some areas,-
Proportion of employed who are own-account workers  by sex,Southern Asia,144,Sri Lanka,1999,Male,33.48,-,-,1,1,Age coverage - minimum age: 10 years old,-,-,-,-,Geographical coverage: Total national  excluding some areas,-
Proportion of employed who are own-account workers  by sex,Southern Asia,144,Sri Lanka,1999,Both sexes,28.29,-,-,1,1,Age coverage - minimum age: 10 years old,-,-,-,-,Geographical coverage: Total national  excluding some areas,-
Proportion of employed who are own-account workers  by sex,Southern Asia,144,Sri Lanka,2003,Female,18.8,-,-,1,1,Age coverage - minimum age: 10 years old,-,-,-,-,Geographical coverage: Total national  excluding some areas,-
Proportion of employed who are own-account workers  by sex,Southern Asia,144,Sri Lanka,2003,Male,34.42,-,-,1,1,Age coverage - minimum age: 10 years old,-,-,-,-,Geographical coverage: Total national  excluding some areas,-
Proportion of employed who are own-account workers  by sex,Southern Asia,144,Sri Lanka,2003,Both sexes,29.56,-,-,1,1,Age coverage - minimum age: 10 years old,-,-,-,-,Geographical coverage: Total national  excluding some areas,-
Proportion of employed who are own-account workers  by sex,Southern Asia,144,Sri Lanka,2008,Female,22.17,-,-,1,1,Age coverage - minimum age: 10 years old,-,-,-,-,Geographical coverage: Total national  excluding some areas,-
Proportion of employed who are own-account workers  by sex,Southern Asia,144,Sri Lanka,2008,Male,34.57,-,-,1,1,Age coverage - minimum age: 10 years old,-,-,-,-,Geographical coverage: Total national  excluding some areas,-
Proportion of employed who are own-account workers  by sex,Southern Asia,144,Sri Lanka,2008,Both sexes,30.25,-,-,1,1,Age coverage - minimum age: 10 years old,-,-,-,-,Geographical coverage: Total national  excluding some areas,-
Proportion of employed who are own-account workers  by sex,Southern Asia,144,Sri Lanka,2000,Female,17.2,-,-,1,1,Age coverage - minimum age: 10 years old,-,-,-,-,Geographical coverage: Total national  excluding some areas,-
Proportion of employed who are own-account workers  by sex,Southern Asia,144,Sri Lanka,2000,Male,33.8,-,-,1,1,Age coverage - minimum age: 10 years old,-,-,-,-,Geographical coverage: Total national  excluding some areas,-
Proportion of employed who are own-account workers  by sex,Southern Asia,144,Sri Lanka,2000,Both sexes,28.36,-,-,1,1,Age coverage - minimum age: 10 years old,-,-,-,-,Geographical coverage: Total national  excluding some areas,-
Proportion of employed who are own-account workers  by sex,Southern Asia,144,Sri Lanka,2005,Female,22.7,-,-,1,1,Age coverage - minimum age: 10 years old,-,-,-,-,-,-
