8b - Percentage distribution of employed population in industrial sector  by sex

Indicator Name,Region,Country Code,Country,Year,Sex,Value,LowerBound,UpperBound,NatureDataID,OriginDataID,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Percentage distribution of employed population in industrial sector  by sex,Southern Asia,50,Bangladesh,2003,Female,18.42,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year
Percentage distribution of employed population in industrial sector  by sex,Southern Asia,50,Bangladesh,2003,Male,12.33,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year
Percentage distribution of employed population in industrial sector  by sex,Southern Asia,50,Bangladesh,2003,Both sexes,13.68,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year
Percentage distribution of employed population in industrial sector  by sex,Southern Asia,50,Bangladesh,2000,Female,8.98,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year
Percentage distribution of employed population in industrial sector  by sex,Southern Asia,50,Bangladesh,2000,Male,11.02,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year
Percentage distribution of employed population in industrial sector  by sex,Southern Asia,50,Bangladesh,2000,Both sexes,10.26,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year
Percentage distribution of employed population in industrial sector  by sex,Southern Asia,50,Bangladesh,2005,Female,12.52,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year
Percentage distribution of employed population in industrial sector  by sex,Southern Asia,50,Bangladesh,2005,Male,15.14,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year
Percentage distribution of employed population in industrial sector  by sex,Southern Asia,50,Bangladesh,2005,Both sexes,14.52,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year
Percentage distribution of employed population in industrial sector  by sex,Southern Asia,50,Bangladesh,2010,Female,13.32,-,-,1,1,Break in series: Methodology revised,-,-,-,-,-,-
Percentage distribution of employed population in industrial sector  by sex,Southern Asia,50,Bangladesh,2010,Male,19.48,-,-,1,1,Break in series: Methodology revised,-,-,-,-,-,-
Percentage distribution of employed population in industrial sector  by sex,Southern Asia,50,Bangladesh,2010,Both sexes,17.64,-,-,1,1,Break in series: Methodology revised,-,-,-,-,-,-
Percentage distribution of employed population in industrial sector  by sex,Southern Asia,50,Bangladesh,1996,Female,7.65,-,-,1,1,Age coverage - minimum age: 10 years old,-,-,-,-,-,Data reference period: Noncalendar year
Percentage distribution of employed population in industrial sector  by sex,Southern Asia,50,Bangladesh,1996,Male,10.76,-,-,1,1,Age coverage - minimum age: 10 years old,-,-,-,-,-,Data reference period: Noncalendar year
Percentage distribution of employed population in industrial sector  by sex,Southern Asia,50,Bangladesh,1996,Both sexes,9.57,-,-,1,1,Age coverage - minimum age: 10 years old,-,-,-,-,-,Data reference period: Noncalendar year
Percentage distribution of employed population in industrial sector  by sex,Southern Asia,50,Bangladesh,2002,Female,18.4,-,-,1,1,Age:15+,-,-,-,-,-,Coverage:Civilian
Percentage distribution of employed population in industrial sector  by sex,Southern Asia,50,Bangladesh,2002,Male,12.3,-,-,1,1,Age:15+,-,-,-,-,-,Coverage:Civilian
Percentage distribution of employed population in industrial sector  by sex,Southern Asia,50,Bangladesh,2002,Both sexes,13.7,-,-,1,1,Age:15+,-,-,-,-,-,Coverage:Civilian
Percentage distribution of employed population in industrial sector  by sex,Southern Asia,50,Bangladesh,2013,Female,23.7,-,-,1,1,Break in series: Methodology revised,-,-,-,-,-,-
Percentage distribution of employed population in industrial sector  by sex,Southern Asia,50,Bangladesh,2013,Male,19.6,-,-,1,1,Break in series: Methodology revised,-,-,-,-,-,-
Percentage distribution of employed population in industrial sector  by sex,Southern Asia,50,Bangladesh,2013,Both sexes,20.79,-,-,1,1,Break in series: Methodology revised,-,-,-,-,-,-
Percentage distribution of employed population in industrial sector  by sex,Southern Asia,64,Bhutan,2003,Female,1.31,-,-,1,1,-,-,-,-,-,-,-
