1 - Average number of hours spent on unpaid domestic and care work  by sex

Indicator Name,Region,Country Code,Country,Year,Sex,Value,LowerBound,UpperBound,NatureDataID,OriginDataID,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Average number of hours spent on unpaid domestic and care work  by sex,Southern Asia,64,Bhutan,2006,Female,3.18,-,-,1,1,Unknown age,2006-2007,0,0,0,0,0
Average number of hours spent on unpaid domestic and care work  by sex,Southern Asia,64,Bhutan,2006,Male,1.22,-,-,1,1,Unknown age,2006-2007,0,0,0,0,0
Average number of hours spent on unpaid domestic and care work  by sex,Southern Asia,356,India,1998,Female,4.35,-,-,1,1,6+,1998-1999,Time on unpaid work does not include time spent on community or volunteer work,0,0,0,0
Average number of hours spent on unpaid domestic and care work  by sex,Southern Asia,356,India,1998,Male,0.45,-,-,1,1,6+,1998-1999,Time on unpaid work does not include time spent on community or volunteer work,0,0,0,0
Average number of hours spent on unpaid domestic and care work  by sex,Southern Asia,364,Iran (Islamic Republic of),2008,Female,5.05,-,-,1,1,15+,2008-2009,0,0,0,0,0
Average number of hours spent on unpaid domestic and care work  by sex,Southern Asia,364,Iran (Islamic Republic of),2008,Male,1.25,-,-,1,1,15+,2008-2009,0,0,0,0,0
Average number of hours spent on unpaid domestic and care work  by sex,Southern Asia,586,Pakistan,2007,Female,4.77,-,-,1,1,10+,0,Collecting water and fuel included under unpaid work,0,0,0,0
Average number of hours spent on unpaid domestic and care work  by sex,Southern Asia,586,Pakistan,2007,Male,0.43,-,-,1,1,10+,0,Collecting water and fuel included under unpaid work,0,0,0,0
Average number of hours spent on unpaid domestic and care work  by sex,Developed regions,8,Albania,2010,Female,5.22,-,-,1,1,10+,2010-2011,Time on unpaid domestic work includes time spent on community or volunteer work,0,0,0,0
Average number of hours spent on unpaid domestic and care work  by sex,Developed regions,8,Albania,2010,Male,0.83,-,-,1,1,10+,2010-2011,Time on unpaid domestic work includes time spent on community or volunteer work,0,0,0,0
Average number of hours spent on unpaid domestic and care work  by sex,Developed regions,36,Australia,2006,Female,5,-,-,1,1,15+,0,Time on unpaid work does not include time spent on community or volunteer work,0,0,0,0
Average number of hours spent on unpaid domestic and care work  by sex,Developed regions,36,Australia,2006,Male,2.73,-,-,1,1,15+,0,Time on unpaid work does not include time spent on community or volunteer work,0,0,0,0
Average number of hours spent on unpaid domestic and care work  by sex,Developed regions,36,Australia,1997,Female,4.87,-,-,1,1,15+,0,Time on unpaid work does not include time spent on community or volunteer work,0,0,0,0
Average number of hours spent on unpaid domestic and care work  by sex,Developed regions,36,Australia,1997,Male,2.62,-,-,1,1,15+,0,Time on unpaid work does not include time spent on community or volunteer work,0,0,0,0
Average number of hours spent on unpaid domestic and care work  by sex,Developed regions,40,Austria,2008,Female,4.07,-,-,1,1,20-74,2008-2009,0,0,0,0,0
Average number of hours spent on unpaid domestic and care work  by sex,Developed regions,40,Austria,2008,Male,2.08,-,-,1,1,20-74,2008-2009,0,0,0,0,0
Average number of hours spent on unpaid domestic and care work  by sex,Developed regions,56,Belgium,2005,Female,3.6,-,-,1,1,12+,0,0,0,0,0,0
Average number of hours spent on unpaid domestic and care work  by sex,Developed regions,56,Belgium,2005,Female,4.18,-,-,1,1,15-84,0,0,0,0,0,0
