17 - Proportion of individuals using the Internet  by sex

Indicator Name,Region,Country Code,Country,Year,Sex,Value,LowerBound,UpperBound,NatureDataID,OriginDataID,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Proportion of individuals using the Internet  by sex,Southern Asia,50,Bangladesh,2013,Female,5.1,-,-,1,1,Information on in-scope population not available,-,-,-,-,-,-
Proportion of individuals using the Internet  by sex,Southern Asia,50,Bangladesh,2013,Male,8.18,-,-,1,1,Information on in-scope population not available,-,-,-,-,-,-
Proportion of individuals using the Internet  by sex,Southern Asia,50,Bangladesh,2013,Both sexes,6.63,-,-,1,1,Information on in-scope population not available,-,-,-,-,-,-
Proportion of individuals using the Internet  by sex,Southern Asia,364,Iran (Islamic Republic of),2009,Female,9.52,-,-,1,1,All population,-,-,-,-,-,-
Proportion of individuals using the Internet  by sex,Southern Asia,364,Iran (Islamic Republic of),2009,Male,12.55,-,-,1,1,All population,-,-,-,-,-,-
Proportion of individuals using the Internet  by sex,Southern Asia,364,Iran (Islamic Republic of),2009,Both sexes,11.07,-,-,1,1,All population,-,-,-,-,-,-
Proportion of individuals using the Internet  by sex,Southern Asia,364,Iran (Islamic Republic of),2010,Female,12.71,-,-,1,1,All population,-,-,-,-,-,-
Proportion of individuals using the Internet  by sex,Southern Asia,364,Iran (Islamic Republic of),2010,Male,16.57,-,-,1,1,All population,-,-,-,-,-,-
Proportion of individuals using the Internet  by sex,Southern Asia,364,Iran (Islamic Republic of),2010,Both sexes,14.7,-,-,1,1,All population,-,-,-,-,-,-
Proportion of individuals using the Internet  by sex,Southern Asia,364,Iran (Islamic Republic of),2012,Both sexes,22.73,-,-,1,1,All population,-,-,-,-,-,-
Proportion of individuals using the Internet  by sex,Southern Asia,364,Iran (Islamic Republic of),2013,Female,25.83,-,-,1,1,All population,-,-,-,-,-,-
Proportion of individuals using the Internet  by sex,Southern Asia,364,Iran (Islamic Republic of),2013,Male,33.83,-,-,1,1,All population,-,-,-,-,-,-
Proportion of individuals using the Internet  by sex,Southern Asia,364,Iran (Islamic Republic of),2013,Both sexes,29.95,-,-,1,1,All population,-,-,-,-,-,-
Proportion of individuals using the Internet  by sex,Southern Asia,462,Maldives,2010,Both sexes,26.53,-,-,1,1,Population age 15+,-,-,-,-,-,-
Proportion of individuals using the Internet  by sex,Developed regions,36,Australia,2008,Female,70.94,-,-,1,1,Population age 15+,-,-,-,-,-,-
Proportion of individuals using the Internet  by sex,Developed regions,36,Australia,2008,Male,72.43,-,-,1,1,Population age 15+,-,-,-,-,-,-
Proportion of individuals using the Internet  by sex,Developed regions,36,Australia,2008,Both sexes,71.67,-,-,1,1,Population age 15+,-,-,-,-,-,-
Proportion of individuals using the Internet  by sex,Developed regions,36,Australia,2007,Female,68.02,-,-,1,1,Population age 15+,-,-,-,-,-,-
Proportion of individuals using the Internet  by sex,Developed regions,36,Australia,2007,Male,70.91,-,-,1,1,Population age 15+,-,-,-,-,-,-
Proportion of individuals using the Internet  by sex,Developed regions,36,Australia,2007,Both sexes,69.45,-,-,1,1,Population age 15+,-,-,-,-,-,-
Proportion of individuals using the Internet  by sex,Developed regions,36,Australia,2009,Female,73.4,-,-,1,1,Population age 15+,-,-,-,-,-,-
Proportion of individuals using the Internet  by sex,Developed regions,36,Australia,2009,Male,75.12,-,-,1,1,Population age 15+,-,-,-,-,-,-
Proportion of individuals using the Internet  by sex,Developed regions,36,Australia,2009,Both sexes,74.25,-,-,1,1,Population age 15+,-,-,-,-,-,-
Proportion of individuals using the Internet  by sex,Developed regions,36,Australia,2011,Female,78.4,-,-,1,1,Population age 15+,-,-,-,-,-,-
Proportion of individuals using the Internet  by sex,Developed regions,36,Australia,2011,Male,80.6,-,-,1,1,Population age 15+,-,-,-,-,-,-
Proportion of individuals using the Internet  by sex,Developed regions,36,Australia,2011,Both sexes,79.49,-,-,1,1,Population age 15+,-,-,-,-,-,-
Proportion of individuals using the Internet  by sex,Developed regions,36,Australia,2013,Female,82.79,-,-,1,1,Population age 15+,-,-,-,-,-,-
Proportion of individuals using the Internet  by sex,Developed regions,36,Australia,2013,Male,84.14,-,-,1,1,Population age 15+,-,-,-,-,-,-
Proportion of individuals using the Internet  by sex,Developed regions,36,Australia,2013,Both sexes,83.45,-,-,1,1,Population age 15+,-,-,-,-,-,-
Proportion of individuals using the Internet  by sex,Developed regions,40,Austria,2003,Female,37.3,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using the Internet  by sex,Developed regions,40,Austria,2003,Male,48.33,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using the Internet  by sex,Developed regions,40,Austria,2003,Both sexes,42.7,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using the Internet  by sex,Developed regions,40,Austria,2008,Female,66.87,-,-,1,1,Population age 16-74,-,-,-,-,-,-
