44 - Proportion of seats held by women in national parliament

Indicator Name,Region,Country Code,Country,Year,Sex,Value,LowerBound,UpperBound,NatureDataID,OriginDataID,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Proportion of seats held by women in national parliament,Southern Asia,4,Afghanistan,2008,Female,27.7,-,-,1,1,-,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,4,Afghanistan,2007,Female,27.3,-,-,1,1,-,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,4,Afghanistan,2009,Female,27.7,-,-,1,1,-,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,4,Afghanistan,2010,Female,27.7,-,-,1,1,-,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,4,Afghanistan,2006,Female,27.3,-,-,1,1,-,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,4,Afghanistan,2011,Female,27.7,-,-,1,1,-,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,4,Afghanistan,2012,Female,27.7,-,-,1,1,-,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,4,Afghanistan,2013,Female,27.7,-,-,1,1,-,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,50,Bangladesh,1999,Female,9.1,-,-,1,1,-,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,50,Bangladesh,2003,Female,2,-,-,1,1,-,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,50,Bangladesh,2000,Female,9.1,-,-,1,1,-,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,50,Bangladesh,2005,Female,2,-,-,1,1,-,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,50,Bangladesh,2009,Female,6.3,-,-,1,1,Bangladesh: This figure excluded the 45 reserved seats for women which were not yet filled in January 2009.,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,50,Bangladesh,2010,Female,18.6,-,-,1,1,-,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,50,Bangladesh,1996,Female,9.1,-,-,1,1,30 seats were reserved for women,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,50,Bangladesh,1998,Female,9.1,-,-,1,1,-,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,50,Bangladesh,2001,Female,9.1,-,-,1,1,-,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,50,Bangladesh,2004,Female,2,-,-,1,1,-,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,50,Bangladesh,2006,Female,14.8,-,-,1,1,Bangladesh: In 2004  the number of seats in parliament was raised from 300 to 345  with the addition of 45 reserved seats for women. These reserved seats were filled in September and October 2005  being allocated to political parties in proportion to their share of the national vote received in the 2001 election.,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,50,Bangladesh,1995,Female,10.3,-,-,1,1,-,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,50,Bangladesh,2011,Female,18.6,-,-,1,1,-,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,50,Bangladesh,1997,Female,9.1,-,-,1,1,-,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,50,Bangladesh,2012,Female,19.7,-,-,1,1,-,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,50,Bangladesh,2013,Female,19.7,-,-,1,1,-,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,50,Bangladesh,2014,Female,20,-,-,1,1,-,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,64,Bhutan,1999,Female,2,-,-,1,1,-,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,64,Bhutan,2003,Female,9.3,-,-,1,1,-,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,64,Bhutan,2008,Female,2.7,-,-,1,1,-,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,64,Bhutan,2000,Female,2,-,-,1,1,-,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,64,Bhutan,2005,Female,9.3,-,-,1,1,-,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,64,Bhutan,2007,Female,2.7,-,-,1,1,-,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,64,Bhutan,2009,Female,8.5,-,-,1,1,-,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,64,Bhutan,2010,Female,8.5,-,-,1,1,-,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,64,Bhutan,1996,Female,0,-,-,1,1,The members of the Tshogdu are elected for 3 years in individual constituencies at various dates depending on the expiry of their term.  The information is given by period depending on whether or not there were any women in the Tshogdu. For more information see year 1953.,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,64,Bhutan,1998,Female,2,-,-,1,1,-,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,64,Bhutan,2001,Female,9.3,-,-,1,1,-,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,64,Bhutan,2004,Female,9.3,-,-,1,1,-,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,64,Bhutan,2006,Female,9.3,-,-,1,1,-,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,64,Bhutan,1995,Female,0,-,-,1,1,The members of the Tshogdu are elected for 3 years in individual constituencies at various dates depending on the expiry of their term.  The information is given by period depending on whether or not there were any women in the Tshogdu. For more information see year 1953.,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,64,Bhutan,2011,Female,8.5,-,-,1,1,-,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,64,Bhutan,1997,Female,2,-,-,1,1,-,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,64,Bhutan,2002,Female,9.3,-,-,1,1,-,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,64,Bhutan,2012,Female,8.5,-,-,1,1,-,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,64,Bhutan,2013,Female,8.5,-,-,1,1,-,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,144,Sri Lanka,1999,Female,5.3,-,-,1,1,-,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,144,Sri Lanka,2003,Female,4.4,-,-,1,1,-,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,144,Sri Lanka,2008,Female,5.8,-,-,1,1,-,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,144,Sri Lanka,2000,Female,4.9,-,-,1,1,-,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,144,Sri Lanka,2005,Female,4.9,-,-,1,1,-,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,144,Sri Lanka,2007,Female,4.9,-,-,1,1,-,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,144,Sri Lanka,2009,Female,5.8,-,-,1,1,-,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,144,Sri Lanka,2010,Female,5.8,-,-,1,1,-,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,144,Sri Lanka,1996,Female,5.3,-,-,1,1,-,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,144,Sri Lanka,1998,Female,5.3,-,-,1,1,-,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,144,Sri Lanka,2004,Female,4.4,-,-,1,1,-,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,144,Sri Lanka,2006,Female,4.9,-,-,1,1,-,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,144,Sri Lanka,1995,Female,5.3,-,-,1,1,-,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,144,Sri Lanka,2011,Female,5.3,-,-,1,1,-,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,144,Sri Lanka,1997,Female,5.3,-,-,1,1,-,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,144,Sri Lanka,2012,Female,5.8,-,-,1,1,-,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,144,Sri Lanka,2013,Female,5.8,-,-,1,1,-,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,356,India,1999,Female,8.1,-,-,1,1,-,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,356,India,2003,Female,8.8,-,-,1,1,-,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,356,India,2008,Female,9.1,-,-,1,1,-,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,356,India,2000,Female,9,-,-,1,1,-,-,-,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,356,India,2005,Female,8.3,-,-,1,1,-,-,-,-,-,-,-
