47 - Share of female judges

Indicator Name,Region,Country Code,Country,Year,Sex,Value,LowerBound,UpperBound,NatureDataID,OriginDataID,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Share of female judges,Developed regions,8,Albania,2009,Female,0.42,-,-,1,1,Professional Judges or Magistrates,-,-,-,-,-,-
Share of female judges,Developed regions,8,Albania,2010,Female,0.4,-,-,1,1,Professional Judges or Magistrates,-,-,-,-,-,-
Share of female judges,Developed regions,8,Albania,2011,Female,0.45,-,-,1,1,Professional Judges or Magistrates,-,-,-,-,-,-
Share of female judges,Developed regions,8,Albania,2012,Female,0.46,-,-,1,1,Professional Judges or Magistrates,-,-,-,-,-,-
Share of female judges,Developed regions,8,Albania,2013,Female,0.42,-,-,1,1,Professional Judges or Magistrates,-,-,-,-,-,-
Share of female judges,Developed regions,20,Andorra,2008,Female,0.4,-,-,1,1,Professional Judges or Magistrates,-,-,-,-,-,-
Share of female judges,Developed regions,20,Andorra,2009,Female,0.36,-,-,1,1,Professional Judges or Magistrates,-,-,-,-,-,-
Share of female judges,Developed regions,20,Andorra,2010,Female,0.38,-,-,1,1,Professional Judges or Magistrates,-,-,-,-,-,-
Share of female judges,Developed regions,20,Andorra,2011,Female,0.38,-,-,1,1,Professional Judges or Magistrates,-,-,-,-,-,-
Share of female judges,Developed regions,20,Andorra,2012,Female,0.46,-,-,1,1,Professional Judges or Magistrates,-,-,-,-,-,-
Share of female judges,Developed regions,20,Andorra,2013,Female,0.46,-,-,1,1,Professional Judges or Magistrates,-,-,-,-,-,-
Share of female judges,Developed regions,20,Andorra,2014,Female,0.48,-,-,1,1,Professional Judges or Magistrates,-,-,-,-,-,-
Share of female judges,Developed regions,36,Australia,2009,Female,0.31,-,-,1,1,Professional Judges or Magistrates,-,-,-,-,-,-
Share of female judges,Developed regions,36,Australia,2010,Female,0.32,-,-,1,1,Professional Judges or Magistrates,-,-,-,-,-,-
Share of female judges,Developed regions,36,Australia,2012,Female,0.33,-,-,1,1,Professional Judges or Magistrates,-,-,-,-,-,-
Share of female judges,Developed regions,40,Austria,2008,Female,0.46,-,-,1,1,Professional Judges or Magistrates,-,-,-,-,-,-
Share of female judges,Developed regions,40,Austria,2005,Female,0.43,-,-,1,1,Professional Judges or Magistrates,-,-,-,-,-,-
Share of female judges,Developed regions,40,Austria,2007,Female,0.44,-,-,1,1,Professional Judges or Magistrates,-,-,-,-,-,-
Share of female judges,Developed regions,40,Austria,2009,Female,0.47,-,-,1,1,Professional Judges or Magistrates,-,-,-,-,-,-
Share of female judges,Developed regions,40,Austria,2010,Female,0.48,-,-,1,1,Professional Judges or Magistrates,-,-,-,-,-,-
Share of female judges,Developed regions,40,Austria,2006,Female,0.44,-,-,1,1,Professional Judges or Magistrates,-,-,-,-,-,-
Share of female judges,Developed regions,40,Austria,2011,Female,0.49,-,-,1,1,Professional Judges or Magistrates,-,-,-,-,-,-
Share of female judges,Developed regions,40,Austria,2012,Female,0.5,-,-,1,1,Professional Judges or Magistrates,-,-,-,-,-,-
Share of female judges,Developed regions,40,Austria,2013,Female,0.51,-,-,1,1,Professional Judges or Magistrates,-,-,-,-,-,-
Share of female judges,Developed regions,40,Austria,2014,Female,0.53,-,-,1,1,Professional Judges or Magistrates,-,-,-,-,-,-
Share of female judges,Developed regions,60,Bermuda,2013,Female,0.25,-,-,1,1,Professional Judges or Magistrates,-,-,-,-,-,-
Share of female judges,Developed regions,70,Bosnia and Herzegovina,2008,Female,0.56,-,-,1,1,Professional Judges or Magistrates,-,-,-,-,-,-
Share of female judges,Developed regions,70,Bosnia and Herzegovina,2007,Female,0.57,-,-,1,1,Professional Judges or Magistrates,-,-,-,-,-,-
Share of female judges,Developed regions,70,Bosnia and Herzegovina,2009,Female,0.57,-,-,1,1,Professional Judges or Magistrates,-,-,-,-,-,-
Share of female judges,Developed regions,70,Bosnia and Herzegovina,2010,Female,0.56,-,-,1,1,Professional Judges or Magistrates,-,-,-,-,-,-
Share of female judges,Developed regions,70,Bosnia and Herzegovina,2011,Female,0.64,-,-,1,1,Professional Judges or Magistrates,-,-,-,-,-,-
Share of female judges,Developed regions,70,Bosnia and Herzegovina,2012,Female,0.64,-,-,1,1,Professional Judges or Magistrates,-,-,-,-,-,-
Share of female judges,Developed regions,70,Bosnia and Herzegovina,2013,Female,0.65,-,-,1,1,Professional Judges or Magistrates,-,-,-,-,-,-
Share of female judges,Developed regions,70,Bosnia and Herzegovina,2014,Female,0.62,-,-,1,1,Professional Judges or Magistrates,-,-,-,-,-,-
