5 - Proportion of employed who are contributing family workers  by sex

Indicator Name,Region,Country Code,Country,Year,Sex,Value,LowerBound,UpperBound,NatureDataID,OriginDataID,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Proportion of employed who are contributing family workers  by sex,Southern Asia,50,Bangladesh,2003,Female,48.03,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year
Proportion of employed who are contributing family workers  by sex,Southern Asia,50,Bangladesh,2003,Male,9.9,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year
Proportion of employed who are contributing family workers  by sex,Southern Asia,50,Bangladesh,2003,Both sexes,18.37,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year
Proportion of employed who are contributing family workers  by sex,Southern Asia,50,Bangladesh,2000,Female,73.25,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year
Proportion of employed who are contributing family workers  by sex,Southern Asia,50,Bangladesh,2000,Male,10.1,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year
Proportion of employed who are contributing family workers  by sex,Southern Asia,50,Bangladesh,2000,Both sexes,33.76,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year
Proportion of employed who are contributing family workers  by sex,Southern Asia,50,Bangladesh,2005,Female,60.12,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year
Proportion of employed who are contributing family workers  by sex,Southern Asia,50,Bangladesh,2005,Male,9.67,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year
Proportion of employed who are contributing family workers  by sex,Southern Asia,50,Bangladesh,2005,Both sexes,21.68,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year
Proportion of employed who are contributing family workers  by sex,Southern Asia,50,Bangladesh,2010,Female,56.26,-,-,1,1,Break in series: Methodology revised,-,-,-,-,-,-
Proportion of employed who are contributing family workers  by sex,Southern Asia,50,Bangladesh,2010,Male,7.02,-,-,1,1,Break in series: Methodology revised,-,-,-,-,-,-
Proportion of employed who are contributing family workers  by sex,Southern Asia,50,Bangladesh,2010,Both sexes,21.77,-,-,1,1,Break in series: Methodology revised,-,-,-,-,-,-
Proportion of employed who are contributing family workers  by sex,Southern Asia,50,Bangladesh,1996,Female,77.33,-,-,1,1,Age coverage - minimum age: 10 years old,-,-,-,-,-,Data reference period: Noncalendar year
Proportion of employed who are contributing family workers  by sex,Southern Asia,50,Bangladesh,1996,Male,17.13,-,-,1,1,Age coverage - minimum age: 10 years old,-,-,-,-,-,Data reference period: Noncalendar year
Proportion of employed who are contributing family workers  by sex,Southern Asia,50,Bangladesh,1996,Both sexes,40.1,-,-,1,1,Age coverage - minimum age: 10 years old,-,-,-,-,-,Data reference period: Noncalendar year
Proportion of employed who are contributing family workers  by sex,Southern Asia,50,Bangladesh,2011,Female,11.4,-,-,1,1,-,-,-,-,-,-,Data reference period: October
Proportion of employed who are contributing family workers  by sex,Southern Asia,50,Bangladesh,2011,Male,2.79,-,-,1,1,-,-,-,-,-,-,Data reference period: October
Proportion of employed who are contributing family workers  by sex,Southern Asia,50,Bangladesh,2011,Both sexes,3.91,-,-,1,1,-,-,-,-,-,-,Data reference period: October
Proportion of employed who are contributing family workers  by sex,Southern Asia,50,Bangladesh,2013,Female,50.13,-,-,1,1,Break in series: Methodology revised,-,-,-,-,-,-
Proportion of employed who are contributing family workers  by sex,Southern Asia,50,Bangladesh,2013,Male,5.11,-,-,1,1,Break in series: Methodology revised,-,-,-,-,-,-
Proportion of employed who are contributing family workers  by sex,Southern Asia,50,Bangladesh,2013,Both sexes,18.17,-,-,1,1,Break in series: Methodology revised,-,-,-,-,-,-
Proportion of employed who are contributing family workers  by sex,Southern Asia,64,Bhutan,2005,Female,51.71,-,-,1,1,-,-,-,-,-,-,Data reference period: May
Proportion of employed who are contributing family workers  by sex,Southern Asia,64,Bhutan,2005,Male,21.34,-,-,1,1,-,-,-,-,-,-,Data reference period: May
Proportion of employed who are contributing family workers  by sex,Southern Asia,64,Bhutan,2005,Both sexes,32.37,-,-,1,1,-,-,-,-,-,-,Data reference period: May
Proportion of employed who are contributing family workers  by sex,Southern Asia,64,Bhutan,2009,Female,62.28,-,-,1,1,-,-,-,-,-,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Proportion of employed who are contributing family workers  by sex,Southern Asia,64,Bhutan,2009,Male,42.06,-,-,1,1,-,-,-,-,-,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Proportion of employed who are contributing family workers  by sex,Southern Asia,64,Bhutan,2009,Both sexes,51.77,-,-,1,1,-,-,-,-,-,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Proportion of employed who are contributing family workers  by sex,Southern Asia,64,Bhutan,2010,Female,48.65,-,-,1,1,-,-,-,-,-,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Proportion of employed who are contributing family workers  by sex,Southern Asia,64,Bhutan,2010,Male,34.84,-,-,1,1,-,-,-,-,-,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Proportion of employed who are contributing family workers  by sex,Southern Asia,64,Bhutan,2010,Both sexes,41.51,-,-,1,1,-,-,-,-,-,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Proportion of employed who are contributing family workers  by sex,Southern Asia,64,Bhutan,2006,Female,64.69,-,-,1,1,-,-,-,-,-,-,Data reference period: Average of 2 monthly points
Proportion of employed who are contributing family workers  by sex,Southern Asia,64,Bhutan,2006,Male,45.98,-,-,1,1,-,-,-,-,-,-,Data reference period: Average of 2 monthly points
Proportion of employed who are contributing family workers  by sex,Southern Asia,64,Bhutan,2006,Both sexes,53.95,-,-,1,1,-,-,-,-,-,-,Data reference period: Average of 2 monthly points
Proportion of employed who are contributing family workers  by sex,Southern Asia,64,Bhutan,2011,Female,48.66,-,-,1,1,-,-,-,-,-,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Proportion of employed who are contributing family workers  by sex,Southern Asia,64,Bhutan,2011,Male,35.51,-,-,1,1,-,-,-,-,-,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Proportion of employed who are contributing family workers  by sex,Southern Asia,64,Bhutan,2011,Both sexes,41.77,-,-,1,1,-,-,-,-,-,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Proportion of employed who are contributing family workers  by sex,Southern Asia,64,Bhutan,2012,Female,56.22,-,-,1,1,-,-,-,-,-,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Proportion of employed who are contributing family workers  by sex,Southern Asia,64,Bhutan,2012,Male,25.41,-,-,1,1,-,-,-,-,-,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Proportion of employed who are contributing family workers  by sex,Southern Asia,64,Bhutan,2012,Both sexes,41.13,-,-,1,1,-,-,-,-,-,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Proportion of employed who are contributing family workers  by sex,Southern Asia,64,Bhutan,2014,Female,53.94,-,-,1,1,-,-,-,-,-,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Proportion of employed who are contributing family workers  by sex,Southern Asia,64,Bhutan,2014,Male,26.53,-,-,1,1,-,-,-,-,-,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Proportion of employed who are contributing family workers  by sex,Southern Asia,64,Bhutan,2014,Both sexes,38.91,-,-,1,1,-,-,-,-,-,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Proportion of employed who are contributing family workers  by sex,Southern Asia,64,Bhutan,2015,Female,48.24,-,-,1,1,-,-,-,-,-,-,Data reference period: November | Geographical coverage: Total national  excluding overseas territories
Proportion of employed who are contributing family workers  by sex,Southern Asia,64,Bhutan,2015,Male,24.63,-,-,1,1,-,-,-,-,-,-,Data reference period: November | Geographical coverage: Total national  excluding overseas territories
Proportion of employed who are contributing family workers  by sex,Southern Asia,64,Bhutan,2015,Both sexes,35.58,-,-,1,1,-,-,-,-,-,-,Data reference period: November | Geographical coverage: Total national  excluding overseas territories
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,1999,Female,24.8,-,-,1,1,Age coverage - minimum age: 10 years old,-,-,-,-,-,Geographical coverage: Total national  excluding some areas
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,1999,Male,6.2,-,-,1,1,Age coverage - minimum age: 10 years old,-,-,-,-,-,Geographical coverage: Total national  excluding some areas
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,1999,Both sexes,12.24,-,-,1,1,Age coverage - minimum age: 10 years old,-,-,-,-,-,Geographical coverage: Total national  excluding some areas
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,2003,Female,21.3,-,-,1,1,Age coverage - minimum age: 10 years old,-,-,-,-,-,Geographical coverage: Total national  excluding some areas
