8c - Percentage distribution of employed population in service sector  by sex

Indicator Name,Region,Country Code,Country,Year,Sex,Value,LowerBound,UpperBound,NatureDataID,OriginDataID,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Percentage distribution of employed population in service sector  by sex,Southern Asia,50,Bangladesh,2003,Female,22.96,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year
Percentage distribution of employed population in service sector  by sex,Southern Asia,50,Bangladesh,2003,Male,37.9,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year
Percentage distribution of employed population in service sector  by sex,Southern Asia,50,Bangladesh,2003,Both sexes,34.59,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year
Percentage distribution of employed population in service sector  by sex,Southern Asia,50,Bangladesh,2000,Female,12.14,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year
Percentage distribution of employed population in service sector  by sex,Southern Asia,50,Bangladesh,2000,Male,30.28,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year
Percentage distribution of employed population in service sector  by sex,Southern Asia,50,Bangladesh,2000,Both sexes,23.48,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year
Percentage distribution of employed population in service sector  by sex,Southern Asia,50,Bangladesh,2005,Female,19.36,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year
Percentage distribution of employed population in service sector  by sex,Southern Asia,50,Bangladesh,2005,Male,43.05,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year
Percentage distribution of employed population in service sector  by sex,Southern Asia,50,Bangladesh,2005,Both sexes,37.41,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year
Percentage distribution of employed population in service sector  by sex,Southern Asia,50,Bangladesh,2010,Female,21.85,-,-,1,1,Break in series: Methodology revised,-,-,-,-,-,-
Percentage distribution of employed population in service sector  by sex,Southern Asia,50,Bangladesh,2010,Male,40.71,-,-,1,1,Break in series: Methodology revised,-,-,-,-,-,-
Percentage distribution of employed population in service sector  by sex,Southern Asia,50,Bangladesh,2010,Both sexes,35.06,-,-,1,1,Break in series: Methodology revised,-,-,-,-,-,-
Percentage distribution of employed population in service sector  by sex,Southern Asia,50,Bangladesh,1996,Female,11.03,-,-,1,1,Age coverage - minimum age: 10 years old,-,-,-,-,-,Data reference period: Noncalendar year
Percentage distribution of employed population in service sector  by sex,Southern Asia,50,Bangladesh,1996,Male,33.69,-,-,1,1,Age coverage - minimum age: 10 years old,-,-,-,-,-,Data reference period: Noncalendar year
Percentage distribution of employed population in service sector  by sex,Southern Asia,50,Bangladesh,1996,Both sexes,25.04,-,-,1,1,Age coverage - minimum age: 10 years old,-,-,-,-,-,Data reference period: Noncalendar year
Percentage distribution of employed population in service sector  by sex,Southern Asia,50,Bangladesh,2002,Female,23,-,-,1,1,Age:15+,-,-,-,-,-,Coverage:Civilian
Percentage distribution of employed population in service sector  by sex,Southern Asia,50,Bangladesh,2002,Male,37.9,-,-,1,1,Age:15+,-,-,-,-,-,Coverage:Civilian
Percentage distribution of employed population in service sector  by sex,Southern Asia,50,Bangladesh,2002,Both sexes,34.6,-,-,1,1,Age:15+,-,-,-,-,-,Coverage:Civilian
Percentage distribution of employed population in service sector  by sex,Southern Asia,50,Bangladesh,2013,Female,22.83,-,-,1,1,Break in series: Methodology revised,-,-,-,-,-,-
Percentage distribution of employed population in service sector  by sex,Southern Asia,50,Bangladesh,2013,Male,38.72,-,-,1,1,Break in series: Methodology revised,-,-,-,-,-,-
Percentage distribution of employed population in service sector  by sex,Southern Asia,50,Bangladesh,2013,Both sexes,34.11,-,-,1,1,Break in series: Methodology revised,-,-,-,-,-,-
Percentage distribution of employed population in service sector  by sex,Southern Asia,64,Bhutan,2003,Female,10.03,-,-,1,1,-,-,-,-,-,-,-
Percentage distribution of employed population in service sector  by sex,Southern Asia,64,Bhutan,2003,Male,24.85,-,-,1,1,-,-,-,-,-,-,-
Percentage distribution of employed population in service sector  by sex,Southern Asia,64,Bhutan,2003,Both sexes,17.52,-,-,1,1,-,-,-,-,-,-,-
Percentage distribution of employed population in service sector  by sex,Southern Asia,64,Bhutan,2005,Female,31.58,-,-,1,1,-,-,-,-,-,-,Data reference period: May
Percentage distribution of employed population in service sector  by sex,Southern Asia,64,Bhutan,2005,Male,43.69,-,-,1,1,-,-,-,-,-,-,Data reference period: May
Percentage distribution of employed population in service sector  by sex,Southern Asia,64,Bhutan,2005,Both sexes,39.23,-,-,1,1,-,-,-,-,-,-,Data reference period: May
Percentage distribution of employed population in service sector  by sex,Southern Asia,64,Bhutan,2009,Female,18.83,-,-,1,1,-,-,-,-,-,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Percentage distribution of employed population in service sector  by sex,Southern Asia,64,Bhutan,2009,Male,36.88,-,-,1,1,-,-,-,-,-,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Percentage distribution of employed population in service sector  by sex,Southern Asia,64,Bhutan,2009,Both sexes,28.21,-,-,1,1,-,-,-,-,-,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Percentage distribution of employed population in service sector  by sex,Southern Asia,64,Bhutan,2010,Female,28.13,-,-,1,1,-,-,-,-,-,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Percentage distribution of employed population in service sector  by sex,Southern Asia,64,Bhutan,2010,Male,39.3,-,-,1,1,-,-,-,-,-,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Percentage distribution of employed population in service sector  by sex,Southern Asia,64,Bhutan,2010,Both sexes,33.77,-,-,1,1,-,-,-,-,-,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Percentage distribution of employed population in service sector  by sex,Southern Asia,64,Bhutan,2006,Female,22.4,-,-,1,1,-,-,-,-,-,-,Data reference period: Average of 2 monthly points
Percentage distribution of employed population in service sector  by sex,Southern Asia,64,Bhutan,2006,Male,35.4,-,-,1,1,-,-,-,-,-,-,Data reference period: Average of 2 monthly points
Percentage distribution of employed population in service sector  by sex,Southern Asia,64,Bhutan,2006,Both sexes,29.77,-,-,1,1,-,-,-,-,-,-,Data reference period: Average of 2 monthly points
Percentage distribution of employed population in service sector  by sex,Southern Asia,64,Bhutan,2011,Female,23.65,-,-,1,1,-,-,-,-,-,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Percentage distribution of employed population in service sector  by sex,Southern Asia,64,Bhutan,2011,Male,36.86,-,-,1,1,-,-,-,-,-,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Percentage distribution of employed population in service sector  by sex,Southern Asia,64,Bhutan,2011,Both sexes,30.65,-,-,1,1,-,-,-,-,-,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Percentage distribution of employed population in service sector  by sex,Southern Asia,64,Bhutan,2012,Female,17.69,-,-,1,1,-,-,-,-,-,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Percentage distribution of employed population in service sector  by sex,Southern Asia,64,Bhutan,2012,Male,41.08,-,-,1,1,-,-,-,-,-,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Percentage distribution of employed population in service sector  by sex,Southern Asia,64,Bhutan,2012,Both sexes,29.14,-,-,1,1,-,-,-,-,-,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Percentage distribution of employed population in service sector  by sex,Southern Asia,64,Bhutan,2013,Female,24.16,-,-,1,1,-,-,-,-,-,-,Data reference period: November | Geographical coverage: Total national  excluding overseas territories
Percentage distribution of employed population in service sector  by sex,Southern Asia,64,Bhutan,2013,Male,39.88,-,-,1,1,-,-,-,-,-,-,Data reference period: November | Geographical coverage: Total national  excluding overseas territories
Percentage distribution of employed population in service sector  by sex,Southern Asia,64,Bhutan,2013,Both sexes,32.7,-,-,1,1,-,-,-,-,-,-,Data reference period: November | Geographical coverage: Total national  excluding overseas territories
Percentage distribution of employed population in service sector  by sex,Southern Asia,64,Bhutan,2014,Female,25.38,-,-,1,1,-,-,-,-,-,-,Data reference period: November | Geographical coverage: Total national  excluding overseas territories
Percentage distribution of employed population in service sector  by sex,Southern Asia,64,Bhutan,2014,Male,38.42,-,-,1,1,-,-,-,-,-,-,Data reference period: November | Geographical coverage: Total national  excluding overseas territories
Percentage distribution of employed population in service sector  by sex,Southern Asia,64,Bhutan,2014,Both sexes,32.53,-,-,1,1,-,-,-,-,-,-,Data reference period: November | Geographical coverage: Total national  excluding overseas territories
Percentage distribution of employed population in service sector  by sex,Southern Asia,64,Bhutan,2015,Female,25.13,-,-,1,1,-,-,-,-,-,-,Data reference period: November | Geographical coverage: Total national  excluding overseas territories
Percentage distribution of employed population in service sector  by sex,Southern Asia,64,Bhutan,2015,Male,38.6,-,-,1,1,-,-,-,-,-,-,Data reference period: November | Geographical coverage: Total national  excluding overseas territories
Percentage distribution of employed population in service sector  by sex,Southern Asia,64,Bhutan,2015,Both sexes,32.35,-,-,1,1,-,-,-,-,-,-,Data reference period: November | Geographical coverage: Total national  excluding overseas territories
Percentage distribution of employed population in service sector  by sex,Southern Asia,144,Sri Lanka,2003,Female,24.74,-,-,1,1,Age coverage - minimum age: 10 years old,-,-,-,-,-,Geographical coverage: Total national  excluding some areas
Percentage distribution of employed population in service sector  by sex,Southern Asia,144,Sri Lanka,2003,Male,27.37,-,-,1,1,Age coverage - minimum age: 10 years old,-,-,-,-,-,Geographical coverage: Total national  excluding some areas
Percentage distribution of employed population in service sector  by sex,Southern Asia,144,Sri Lanka,2003,Both sexes,26.55,-,-,1,1,Age coverage - minimum age: 10 years old,-,-,-,-,-,Geographical coverage: Total national  excluding some areas
Percentage distribution of employed population in service sector  by sex,Southern Asia,144,Sri Lanka,2008,Female,25.75,-,-,1,1,Age coverage - minimum age: 10 years old,-,-,-,-,-,Geographical coverage: Total national  excluding some areas
Percentage distribution of employed population in service sector  by sex,Southern Asia,144,Sri Lanka,2008,Male,27.35,-,-,1,1,Age coverage - minimum age: 10 years old,-,-,-,-,-,Geographical coverage: Total national  excluding some areas
Percentage distribution of employed population in service sector  by sex,Southern Asia,144,Sri Lanka,2008,Both sexes,26.79,-,-,1,1,Age coverage - minimum age: 10 years old,-,-,-,-,-,Geographical coverage: Total national  excluding some areas
Percentage distribution of employed population in service sector  by sex,Southern Asia,144,Sri Lanka,2005,Female,25.77,-,-,1,1,Age coverage - minimum age: 10 years old,-,-,-,-,-,-
Percentage distribution of employed population in service sector  by sex,Southern Asia,144,Sri Lanka,2005,Male,25.98,-,-,1,1,Age coverage - minimum age: 10 years old,-,-,-,-,-,-
Percentage distribution of employed population in service sector  by sex,Southern Asia,144,Sri Lanka,2005,Both sexes,25.91,-,-,1,1,Age coverage - minimum age: 10 years old,-,-,-,-,-,-
Percentage distribution of employed population in service sector  by sex,Southern Asia,144,Sri Lanka,2007,Female,34.37,-,-,1,1,Age coverage - minimum age: 10 years old,-,-,-,-,-,Geographical coverage: Total national  excluding some areas
Percentage distribution of employed population in service sector  by sex,Southern Asia,144,Sri Lanka,2007,Male,40.88,-,-,1,1,Age coverage - minimum age: 10 years old,-,-,-,-,-,Geographical coverage: Total national  excluding some areas
Percentage distribution of employed population in service sector  by sex,Southern Asia,144,Sri Lanka,2007,Both sexes,38.67,-,-,1,1,Age coverage - minimum age: 10 years old,-,-,-,-,-,Geographical coverage: Total national  excluding some areas
Percentage distribution of employed population in service sector  by sex,Southern Asia,144,Sri Lanka,2009,Female,36.91,-,-,1,1,Age coverage - minimum age: 10 years old,-,-,-,-,-,Geographical coverage: Total national  excluding some areas | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Percentage distribution of employed population in service sector  by sex,Southern Asia,144,Sri Lanka,2009,Male,40.96,-,-,1,1,Age coverage - minimum age: 10 years old,-,-,-,-,-,Geographical coverage: Total national  excluding some areas | Population coverage: Excluding both institutional population and armed forces and/or conscripts
